,age_,gender_,geolocation_,social factors,etnicity_,bias_,fairness_,fairness,concerns
3D Mitochondria Instance Segmentation with Spatio-Temporal Transformers,0,0,0,0,0,0,0,0,0
A Novel Video-CTU Registration Method with Structural Point Similarity for FURS Navigation,3,0,0,0,0,0,0,0,9
A Sheaf Theoretic Perspective for Robust Prostate Segmentation,0,0,0,0,0,0,0,0,0
A Spatial-Temporal Deformable Attention Based Framework for Breast Lesion Detection in Videos,1,0,0,0,0,0,0,0,3
A Texture Neural Network to Predict the Abnormal Brachial Plexus from Routine Magnetic Resonance Imaging,0,0,1,0,0,0,0,0,0
A2FSeg: Adaptive Multi-modal Fusion Network for Medical Image Segmentation,0,0,0,0,0,0,0,0,1
ALL-IN: A Local GLobal Graph-Based DIstillatioN Model for Representation Learning of Gigapixel Histopathology Images With Application In Cancer Risk Assessment,1,0,0,0,0,0,0,0,2
AME-CAM: Attentive Multiple-Exit CAM for Weakly Supervised Segmentation on MRI Brain Tumor,1,0,0,0,0,0,0,0,7
Adaptive Region Selection for Active Learning in Whole Slide Image Semantic Segmentation,0,0,0,0,0,0,0,0,1
Adaptive Supervised PatchNCE Loss for Learning H&E-to-IHC Stain Translation with Inconsistent Groundtruth Image Pairs,1,0,0,0,0,0,0,0,2
An AI-Ready Multiplex Staining Dataset for Reproducible and Accurate Characterization of Tumor Immune Microenvironment,0,0,0,1,0,0,0,0,0
An Anti-biased TBSRTC-Category Aware Nuclei Segmentation Framework with a Multi-label Thyroid Cytology Benchmark,0,0,0,0,0,0,0,0,0
An Explainable Deep Framework: Towards Task-Specific Fusion for Multi-to-One MRI Synthesis,0,0,0,0,0,0,0,0,0
Anatomical-Aware Point-Voxel Network for Couinaud Segmentation in Liver CT,0,0,0,0,0,0,0,0,2
Anatomy-Driven Pathology Detection on Chest X-rays,0,0,0,0,0,0,0,0,0
Anti-adversarial Consistency Regularization for Data Augmentation: Applications to Robust Medical Image Segmentation,0,0,0,0,0,0,0,0,0
ArSDM: Colonoscopy Images Synthesis with Adaptive Refinement Semantic Diffusion Models,0,0,0,0,0,0,0,0,0
Artifact Restoration in Histology Images with Diffusion Probabilistic Models,2,0,1,0,0,0,0,0,3
Asymmetric Contour Uncertainty Estimation for Medical Image Segmentation,0,0,0,0,0,0,0,0,3
Automated CT Lung Cancer Screening Workflow Using 3D Camera,0,0,0,0,0,0,0,0,0
Automatic Bleeding Risk Rating System of Gastric Varices,0,0,0,0,0,0,0,0,0
B-Cos Aligned Transformers Learn Human-Interpretable Features,0,0,0,0,0,0,0,0,1
Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation,0,0,0,0,0,0,0,0,0
Boosting Breast Ultrasound Video Classification by the Guidance of Keyframe Feature Centers,2,0,1,0,0,0,0,0,2
Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network,3,2,0,0,0,1,0,0,1
Bridging Ex-Vivo Training and Intra-operative Deployment for Surgical Margin Assessment with Evidential Graph Transformer,0,0,0,0,0,0,1,0,0
CARL: Cross-Aligned Representation Learning for Multi-view Lung Cancer Histology Classification,1,0,2,0,0,0,0,0,2
CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction,0,0,0,0,0,0,0,0,2
COLosSAL: A Benchmark for Cold-Start Active Learning for 3D Medical Image Segmentation,0,0,0,0,0,0,0,0,0
Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation,1,0,0,0,0,0,0,0,2
Category-Level Regularized Unlabeled-to-Labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data,0,0,0,0,0,0,0,0,0
CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification,0,0,0,0,0,0,0,0,0
Centroid-Aware Feature Recalibration for Cancer Grading in Pathology Images,0,0,0,0,0,0,0,0,0
CircleFormer: Circular Nuclei Detection in Whole Slide Images with Circle Queries and Attention,0,0,0,0,0,0,0,0,0
Clinical Evaluation of AI-Assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma,0,0,0,0,0,0,0,0,0
Cluster-Induced Mask Transformers for Effective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans,0,0,6,0,0,0,0,0,3
Co-learning Semantic-Aware Unsupervised Segmentation for Pathological Image Registration,0,0,0,0,0,0,0,0,0
CoLa-Diff: Conditional Latent Diffusion Model for Multi-modal MRI Synthesis,0,0,0,0,0,0,2,0,0
Conditional Diffusion Models for Weakly Supervised Medical Image Segmentation,1,0,0,0,0,0,0,0,1
Continual Learning for Abdominal Multi-organ and Tumor Segmentation,0,0,0,0,0,0,0,0,3
Contrastive Feature Decoupling for Weakly-Supervised Disease Detection,0,0,0,0,0,0,0,0,1
Cross-Adversarial Local Distribution Regularization for Semi-supervised Medical Image Segmentation,0,0,0,0,0,0,0,0,0
Cross-Modulated Few-Shot Image Generation for Colorectal Tissue Classification,2,0,0,0,0,0,0,0,5
DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs,0,0,0,0,0,0,0,0,1
DAST: Differentiable Architecture Search with Transformer for 3D Medical Image Segmentation,0,0,0,0,0,0,0,0,0
DBTrans: A Dual-Branch Vision Transformer for Multi-Modal Brain Tumor Segmentation,0,0,0,0,0,0,0,0,2
DCAug: Domain-Aware and Content-Consistent Cross-Cycle Framework for Tumor Augmentation,3,0,0,0,0,0,0,0,5
DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration,0,0,0,0,0,0,0,0,3
DeDA: Deep Directed Accumulator,0,0,0,0,0,0,0,0,0
Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology,0,0,1,0,0,0,0,0,4
Deep Learning for Tumor-Associated Stroma Identification in Prostate Histopathology Slides,1,0,0,0,0,0,1,0,3
Deep Probability Contour Framework for Tumour Segmentation and Dose Painting in PET Images,1,0,0,0,0,0,0,0,5
Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing,1,0,0,0,0,0,0,0,2
Deep Unsupervised Clustering for Conditional Identification of Subgroups Within a Digital Pathology Image Set,0,0,0,0,0,0,0,0,0
Detecting Domain Shift in Multiple Instance Learning for Digital Pathology Using Fréchet Domain Distance,1,0,3,0,0,0,0,0,0
Detecting the Sensing Area of a Laparoscopic Probe in Minimally Invasive Cancer Surgery,0,0,0,0,0,0,0,0,8
Detection of Basal Cell Carcinoma in Whole Slide Images,1,0,0,0,0,0,7,0,0
Detection-Free Pipeline for Cervical Cancer Screening of Whole Slide Images,1,1,3,0,0,0,0,0,2
Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images,4,1,3,0,0,0,0,0,4
Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels,0,0,0,0,0,0,0,0,0
DiffDP: Radiotherapy Dose Prediction via a Diffusion Model,1,0,1,0,0,0,0,0,1
Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI,0,0,0,0,0,0,0,0,2
DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms Using Self-adversarial Learning,1,1,0,0,0,0,1,0,0
Dose Guidance for Radiotherapy-Oriented Deep Learning Segmentation,0,0,0,0,0,0,0,0,0
ECL: Class-Enhancement Contrastive Learning for Long-Tailed Skin Lesion Classification,0,0,0,0,0,1,10,0,7
EGE-UNet: An Efficient Group Enhanced UNet for Skin Lesion Segmentation,0,0,0,1,0,0,0,0,0
EPVT: Environment-Aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition,2,0,0,0,0,1,0,0,3
Edge-Aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI,0,0,0,0,0,0,0,1,0
EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness,0,0,1,0,0,1,16,0,0
Efficient Subclass Segmentation in Medical Images,0,0,0,0,0,1,0,0,2
Enhancing Breast Cancer Risk Prediction by Incorporating Prior Images,0,1,1,0,0,0,0,0,0
EoFormer: Edge-Oriented Transformer for Brain Tumor Segmentation,1,0,0,0,0,0,1,0,0
Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images,0,0,0,0,0,0,0,0,0
Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation,0,0,0,0,0,0,0,0,0
Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task Through Visualizing Functions Within the Models,0,0,0,0,0,0,0,0,1
FLIm-Based in Vivo Classification of Residual Cancer in the Surgical Cavity During Transoral Robotic Surgery,0,0,0,0,0,0,8,0,2
Faithful Synthesis of Low-Dose Contrast-Enhanced Brain MRI Scans Using Noise-Preserving Conditional GANs,0,0,0,0,0,0,0,0,0
FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation,0,0,0,0,0,0,0,0,2
FocalErrorNet: Uncertainty-Aware Focal Modulation Network for Inter-modal Registration Error Estimation in Ultrasound-Guided Neurosurgery,0,0,0,0,0,0,0,0,0
FocalUNETR: A Focal Transformer for Boundary-Aware Prostate Segmentation Using CT Images,0,0,0,0,0,0,0,0,0
FreeSeed: Frequency-Band-Aware and Self-guided Network for Sparse-View CT Reconstruction,1,0,0,0,0,0,0,0,1
Gall Bladder Cancer Detection from US Images with only Image Level Labels,0,0,0,0,0,0,0,0,0
Gene-Induced Multimodal Pre-training for Image-Omic Classification,0,0,0,0,0,0,0,0,0
Geometric Ultrasound Localization Microscopy,0,0,0,0,0,0,0,0,2
Geometry-Invariant Abnormality Detection,0,0,0,0,0,0,0,0,0
Graph-Theoretic Automatic Lesion Tracking and Detection of Patterns of Lesion Changes in Longitudinal CT Studies,0,0,0,0,0,0,0,0,0
H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation,0,0,0,0,0,0,3,0,3
HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images,3,0,1,0,0,0,0,0,4
HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis,0,0,0,0,0,0,0,0,0
Histopathology Image Classification Using Deep Manifold Contrastive Learning,0,0,1,0,0,0,1,0,0
IIB-MIL: Integrated Instance-Level and Bag-Level Multiple Instances Learning with Label Disambiguation for Pathological Image Analysis,0,0,0,0,0,0,0,0,0
Improved Prognostic Prediction of Pancreatic Cancer Using Multi-phase CT by Integrating Neural Distance and Texture-Aware Transformer,0,0,3,0,0,0,0,0,0
Improving Outcome Prediction of Pulmonary Embolism by De-biased Multi-modality Model,3,3,2,0,2,3,0,0,0
Infusing Physically Inspired Known Operators in Deep Models of Ultrasound Elastography,0,0,1,0,0,0,0,0,0
Instance-Aware Diffusion Model for Gland Segmentation in Colon Histology Images,0,0,0,0,0,0,0,0,1
Interpretable Medical Image Classification Using Prototype Learning and Privileged Information,0,0,0,0,0,0,0,0,0
Intraoperative CT Augmentation for Needle-Based Liver Interventions,5,0,0,0,0,0,0,0,4
Iteratively Coupled Multiple Instance Learning from Instance to Bag Classifier for Whole Slide Image Classification,0,0,1,0,0,0,0,0,0
"Joint Prediction of Response to Therapy, Molecular Traits, and Spatial Organisation in Colorectal Cancer Biopsies",0,0,0,0,0,0,2,0,0
Learning Expected Appearances for Intraoperative Registration During Neurosurgery,1,0,0,0,0,0,0,0,1
Learning Reliability of Multi-modality Medical Images for Tumor Segmentation via Evidence-Identified Denoising Diffusion Probabilistic Models,1,0,1,0,0,0,0,0,5
Learning Transferable Object-Centric Diffeomorphic Transformations for Data Augmentation in Medical Image Segmentation,5,0,0,0,0,0,0,0,6
LightNeuS: Neural Surface Reconstruction in Endoscopy Using Illumination Decline,1,0,0,0,0,0,0,0,2
Liver Tumor Screening and Diagnosis in CT with Pixel-Lesion-Patient Network,0,0,0,0,0,0,0,0,0
M&M: Tackling False Positives in Mammography with a Multi-view and Multi-instance Learning Sparse Detector,0,0,1,0,0,0,0,0,2
M-GenSeg: Domain Adaptation for Target Modality Tumor Segmentation with Annotation-Efficient Supervision,0,0,0,0,0,0,0,0,0
MPBD-LSTM: A Predictive Model for Colorectal Liver Metastases Using Time Series Multi-phase Contrast-Enhanced CT Scans,0,0,2,0,0,0,0,0,1
MUVF-YOLOX: A Multi-modal Ultrasound Video Fusion Network for Renal Tumor Diagnosis,0,0,1,0,0,0,0,0,0
Mammo-Net: Integrating Gaze Supervision and Interactive Information in Multi-view Mammogram Classification,0,1,0,0,0,0,0,0,0
MedNeXt: Transformer-Driven Scaling of ConvNets for Medical Image Segmentation,1,0,0,0,0,0,0,0,2
Medical Boundary Diffusion Model for Skin Lesion Segmentation,0,0,0,0,0,0,0,0,0
Merging-Diverging Hybrid Transformer Networks for Survival Prediction in Head and Neck Cancer,1,0,0,0,0,0,0,0,2
MetaLR: Meta-tuning of Learning Rates for Transfer Learning in Medical Imaging,0,0,0,0,0,0,0,0,0
Mining Negative Temporal Contexts for False Positive Suppression in Real-Time Ultrasound Lesion Detection,2,0,1,0,0,0,0,0,2
MixUp-MIL: Novel Data Augmentation for Multiple Instance Learning and a Study on Thyroid Cancer Diagnosis,0,0,0,0,0,0,2,0,0
Morphology-Inspired Unsupervised Gland Segmentation via Selective Semantic Grouping,3,0,0,0,0,0,0,0,3
Multi-Target Domain Adaptation with Prompt Learning for Medical Image Segmentation,6,0,0,0,0,0,1,0,4
Multi-modal Pathological Pre-training via Masked Autoencoders for Breast Cancer Diagnosis,2,1,0,0,0,0,0,0,7
Multi-scale Prototypical Transformer for Whole Slide Image Classification,1,0,0,0,0,0,0,0,4
Multi-scale Self-Supervised Learning for Longitudinal Lesion Tracking with Optional Supervision,1,0,0,0,0,0,0,0,2
Multi-scope Analysis Driven Hierarchical Graph Transformer for Whole Slide Image Based Cancer Survival Prediction,0,0,0,0,0,0,0,0,0
Multi-task Learning of Histology and Molecular Markers for Classifying Diffuse Glioma,0,0,0,0,0,0,0,0,0
Multimodal CT and MR Segmentation of Head and Neck Organs-at-Risk,0,0,0,0,0,0,0,0,0
Multiple Prompt Fusion for Zero-Shot Lesion Detection Using Vision-Language Models,0,0,0,0,0,0,0,0,0
NASDM: Nuclei-Aware Semantic Histopathology Image Generation Using Diffusion Models,0,0,0,0,0,0,0,0,0
Noise2Aliasing: Unsupervised Deep Learning for View Aliasing and Noise Reduction in 4DCBCT,2,0,0,0,0,0,0,0,1
OpenAL: An Efficient Deep Active Learning Framework for Open-Set Pathology Image Classification,1,0,0,0,0,0,0,0,1
Optical Coherence Elastography Needle for Biomechanical Characterization of Deep Tissue,0,0,0,0,0,0,0,0,0
Overall Survival Time Prediction of Glioblastoma on Preoperative MRI Using Lesion Network Mapping,2,3,0,0,0,0,0,0,2
PET-Diffusion: Unsupervised PET Enhancement Based on the Latent Diffusion Model,0,0,0,0,0,0,0,0,0
PROnet: Point Refinement Using Shape-Guided Offset Map for Nuclei Instance Segmentation,0,0,0,0,0,0,0,0,2
Parse and Recall: Towards Accurate Lung Nodule Malignancy Prediction Like Radiologists,0,0,1,0,0,0,0,0,2
Pathology-and-Genomics Multimodal Transformer for Survival Outcome Prediction,0,0,0,0,0,0,0,0,3
Pelvic Fracture Segmentation Using a Multi-scale Distance-Weighted Neural Network,1,0,0,0,0,0,0,0,1
Physics-Informed Conditional Autoencoder Approach for Robust Metabolic CEST MRI at 7T,0,0,0,0,0,0,0,0,1
Position-Aware Masked Autoencoder for Histopathology WSI Representation Learning,0,0,0,0,0,1,0,0,0
Pre-operative Survival Prediction of Diffuse Glioma Patients with Joint Tumor Subtyping,6,0,5,0,0,0,4,0,2
Pre-trained Diffusion Models for Plug-and-Play Medical Image Enhancement,0,0,0,0,0,0,0,0,0
Probabilistic Modeling Ensemble Vision Transformer Improves Complex Polyp Segmentation,0,0,1,0,0,0,0,0,5
Progressive Attention Guidance for Whole Slide Vulvovaginal Candidiasis Screening,0,0,0,0,0,0,0,0,0
Prompt-Based Grouping Transformer for Nucleus Detection and Classification,0,0,0,0,0,0,0,0,0
Prompt-MIL: Boosting Multi-instance Learning Schemes via Task-Specific Prompt Tuning,0,0,0,0,0,0,0,0,0
QCResUNet: Joint Subject-Level and Voxel-Level Prediction of Segmentation Quality,0,0,0,0,0,0,1,0,3
RCS-YOLO: A Fast and High-Accuracy Object Detector for Brain Tumor Detection,0,0,0,0,0,0,0,0,0
Reflectance Mode Fluorescence Optical Tomography with Consumer-Grade Cameras,0,0,0,0,0,0,0,0,0
Regularized Kelvinlet Functions to Model Linear Elasticity for Image-to-Physical Registration of the Breast,0,0,0,0,0,0,0,0,0
Relaxation-Diffusion Spectrum Imaging for Probing Tissue Microarchitecture,0,0,0,0,0,0,0,0,0
Revealing Anatomical Structures in PET to Generate CT for Attenuation Correction,0,0,0,0,0,0,0,0,0
Revisiting Feature Propagation and Aggregation in Polyp Segmentation,0,0,0,0,0,0,0,0,0
Robust Cervical Abnormal Cell Detection via Distillation from Local-Scale Consistency Refinement,0,1,1,0,0,0,0,0,4
S 2 ME: Spatial-Spectral Mutual Teaching and Ensemble Learning for Scribble-Supervised Polyp Segmentation,0,0,0,0,0,0,0,0,0
SFusion: Self-attention Based N-to-One Multimodal Fusion Block,0,0,0,0,0,0,0,0,1
SHISRCNet: Super-Resolution and Classification Network for Low-Resolution Breast Cancer Histopathology Image,5,2,0,0,0,0,0,0,2
SLPD: Slide-Level Prototypical Distillation for WSIs,0,0,0,0,0,0,0,0,1
SLPT: Selective Labeling Meets Prompt Tuning on Label-Limited Lesion Segmentation,0,0,3,0,0,0,0,0,0
Scale-Aware Test-Time Click Adaptation for Pulmonary Nodule and Mass Segmentation,0,0,0,0,0,0,0,0,2
Second-Course Esophageal Gross Tumor Volume Segmentation in CT with Prior Anatomical and Radiotherapy Information,1,0,0,0,0,0,0,0,4
Segmentation of Kidney Tumors on Non-Contrast CT Images Using Protuberance Detection Network,4,0,0,0,0,0,0,0,5
Self-Supervised Domain Adaptive Segmentation of Breast Cancer via Test-Time Fine-Tuning,2,0,0,0,0,0,0,0,2
Self-feedback Transformer: A Multi-label Diagnostic Model for Real-World Pancreatic Neuroendocrine Neoplasms Data,0,0,0,0,0,0,0,0,0
Self-supervised Dense Representation Learning for Live-Cell Microscopy with Time Arrow Prediction,0,0,0,0,0,0,0,0,0
Self-supervised Learning for Endoscopic Video Analysis,0,0,0,0,0,0,0,0,1
Self-supervised Learning for Physiologically-Based Pharmacokinetic Modeling in Dynamic PET,0,0,0,0,0,0,0,0,0
Self-supervised Polyp Re-identification in Colonoscopy,0,0,0,0,0,0,0,0,2
Semi-supervised Pathological Image Segmentation via Cross Distillation of Multiple Attentions,0,0,0,0,0,0,0,0,0
Shifting More Attention to Breast Lesion Segmentation in Ultrasound Videos,0,0,0,0,0,0,0,0,0
SimPLe: Similarity-Aware Propagation Learning for Weakly-Supervised Breast Cancer Segmentation in DCE-MRI,0,1,0,0,0,0,2,0,1
Skin Lesion Correspondence Localization in Total Body Photography,0,0,0,0,0,0,0,0,0
Solving Low-Dose CT Reconstruction via GAN with Local Coherence,1,0,3,0,0,0,0,0,1
StructuRegNet: Structure-Guided Multimodal 2D-3D Registration,1,0,1,0,0,0,0,2,0
Structure-Preserving Instance Segmentation via Skeleton-Aware Distance Transform,0,0,0,0,0,0,0,0,1
Structure-Preserving Synthesis: MaskGAN for Unpaired MR-CT Translation,0,0,0,0,0,0,0,0,0
Structured State Space Models for Multiple Instance Learning in Digital Pathology,0,0,0,0,0,0,0,0,1
Surgical Video Captioning with Mutual-Modal Concept Alignment,0,0,1,0,0,0,0,0,0
Synthesis of Contrast-Enhanced Breast MRI Using T1- and Multi-b-Value DWI-Based Hierarchical Fusion Network with Attention Mechanism,2,1,0,0,0,0,0,0,4
Synthetic Augmentation with Large-Scale Unconditional Pre-training,0,0,0,0,0,1,0,0,2
TPRO: Text-Prompting-Based Weakly Supervised Histopathology Tissue Segmentation,0,0,0,0,0,0,0,0,0
Text-Guided Cross-Position Attention for Segmentation: Case of Medical Image,0,0,0,0,0,0,0,0,0
Thyroid Nodule Diagnosis in Dynamic Contrast-Enhanced Ultrasound via Microvessel Infiltration Awareness,0,0,0,0,0,0,0,0,0
Towards AI-Driven Radiology Education: A Self-supervised Segmentation-Based Framework for High-Precision Medical Image Editing,3,0,1,0,0,0,0,0,6
Towards Multi-modal Anatomical Landmark Detection for Ultrasound-Guided Brain Tumor Resection with Contrastive Learning,0,0,0,0,0,0,0,0,0
Towards Novel Class Discovery: A Study in Novel Skin Lesions Clustering,1,0,0,0,0,0,0,0,1
Trackerless Volume Reconstruction from Intraoperative Ultrasound Images,1,0,0,0,0,0,0,0,3
Tracking Adaptation to Improve SuperPoint for 3D Reconstruction in Endoscopy,1,0,0,0,0,0,0,0,4
TransLiver: A Hybrid Transformer Model for Multi-phase Liver Lesion Classification,0,0,2,0,0,0,0,0,2
TransNuSeg: A Lightweight Multi-task Transformer for Nuclei Segmentation,0,0,0,0,0,0,0,0,0
Transfer Learning-Assisted Survival Analysis of Breast Cancer Relying on the Spatial Interaction Between Tumor-Infiltrating Lymphocytes and Tumors,1,3,0,0,0,0,0,0,2
Triangular Analysis of Geographical Interplay of Lymphocytes (TriAnGIL): Predicting Immunotherapy Response in Lung Cancer,1,0,4,0,0,0,0,0,0
UniSeg: A Prompt-Driven Universal Segmentation Model as Well as A Strong Representation Learner,0,0,0,0,0,0,0,0,4
Unified Brain MR-Ultrasound Synthesis Using Multi-modal Hierarchical Representations,3,0,0,0,0,0,0,0,2
Unsupervised Discovery of 3D Hierarchical Structure with Generative Diffusion Features,2,0,0,0,0,0,0,0,1
WeakPolyp: You only Look Bounding Box for Polyp Segmentation,0,0,0,0,0,1,0,0,0
What Do AEs Learn? Challenging Common Assumptions in Unsupervised Anomaly Detection,0,0,0,0,0,0,0,0,0
X2Vision: 3D CT Reconstruction from Biplanar X-Rays with Deep Structure Prior,0,0,0,0,0,0,0,0,2
YONA: You Only Need One Adjacent Reference-Frame for Accurate and Fast Video Polyp Detection,0,0,0,0,0,0,0,0,4
atTRACTive: Semi-automatic White Matter Tract Segmentation Using Active Learning,0,0,0,0,0,0,0,0,0
vox2vec: A Framework for Self-supervised Contrastive Learning of Voxel-Level Representations in Medical Images,0,0,0,0,0,0,0,0,3
